currency,price,volume,exchange_rate,bid_spread,market_cap,timestamp
solana,175.65,3383062722,359.82,0.014982,93306676866,2024-07-18T18:12:38.498750Z
bitcoin,61235.66,29688844641,0.89,0.021186,1471023551973,2024-07-22T07:34:04.703747Z
ethereum,2994.82,12664232676,24.2,0.009769,381594816414,2024-07-26T16:47:26.503549Z
binancecoin,502.24,593581337,116.24,0.020771,83702584329,2024-07-28T21:55:42.244638Z
solana,168.37,2881792015,296.93,0.013069,97580830130,2024-07-12T10:56:40.426341Z
bitcoin,55797.39,28779730205,0.89,0.016628,1290156054428,2024-07-21T21:49:40.451471Z
ethereum,2682.3,14997986665,21.32,0.008284,381621679955,2024-07-02T19:12:16.887684Z
binancecoin,476.38,730644291,123.08,0.019592,93297015794,2024-07-01T18:18:03.333230Z
solana,156.5,3125567533,353.54,0.0142,92898571388,2024-07-02T03:20:09.618564Z
bitcoin,73396.57,31029046457,1.11,0.018822,1374538227757,2024-07-18T06:14:03.601390Z
ethereum,2993.75,16103148513,23.06,0.011623,383717344812,2024-07-03T04:06:13.900586Z
binancecoin,539.29,726732638,102.11,0.019517,75786076686,2024-07-09T22:12:03.537239Z
solana,153.14,3328075260,333.45,0.014624,89565363911,2024-07-15T01:57:15.411659Z
bitcoin,66520.31,31513776379,0.83,0.018105,1447763287529,2024-07-27T13:42:30.141427Z
ethereum,3083.73,11811307442,19.24,0.011743,385370010525,2024-07-16T03:09:06.933850Z
binancecoin,670.93,775475553,130.59,0.014287,97379181630,2024-07-26T10:43:31.104284Z
solana,185.45,3312361972,330.44,0.012743,92797531907,2024-07-20T10:31:41.357405Z
bitcoin,56307.59,30543924020,1.02,0.023874,1373617297496,2024-07-19T02:17:09.568248Z
ethereum,3185.31,13664419247,19.55,0.009632,329624579361,2024-07-05T16:35:06.483366Z
binancecoin,517.21,857191074,105.63,0.019216,80662402560,2024-07-23T20:05:35.783411Z
solana,146.99,3196855011,379.23,0.018206,88838181816,2024-07-21T21:50:59.612589Z
bitcoin,65443.02,35599120584,0.9,0.021997,1467914171788,2024-07-26T07:10:28.903626Z
ethereum,3128.69,13463149463,20.05,0.008509,410713694756,2024-07-03T03:02:18.473047Z
binancecoin,461.37,705695015,123.32,0.014692,95339103372,2024-07-05T09:23:35.131462Z
solana,190.89,3624090366,347.23,0.016045,67764870995,2024-07-11T19:35:58.181614Z
bitcoin,59324.63,31423007982,1.12,0.017236,1486170911107,2024-07-16T04:30:58.174826Z
ethereum,3889.66,14618647770,23.58,0.008934,424149806472,2024-07-12T20:58:23.402755Z
binancecoin,679.19,805450985,99.3,0.015308,78411287966,2024-07-19T04:37:02.950695Z
solana,204.15,2720675615,305.61,0.014192,89376255312,2024-07-06T02:29:16.231739Z
bitcoin,56374.81,29284721378,0.89,0.016191,1247703312390,2024-07-11T04:35:58.708141Z
ethereum,3208.02,11386596694,24.1,0.011639,400187301504,2024-07-16T21:43:55.727313Z
binancecoin,623.71,836156384,121.78,0.020157,93778536446,2024-07-22T13:49:27.977585Z
solana,176.72,3184424864,408.16,0.015714,71667311855,2024-07-11T08:51:18.068482Z
bitcoin,63764.71,33946309554,0.98,0.021361,1319141534248,2024-07-01T09:29:20.493888Z
ethereum,3663.06,14009169942,20.9,0.009047,392243804377,2024-07-05T20:20:51.225710Z
binancecoin,677.39,581574333,106.15,0.016871,90368910544,2024-07-26T05:06:06.583784Z
solana,208.92,3494176164,320.46,0.01375,90414033047,2024-07-10T00:00:08.148856Z
bitcoin,59117.07,28332676077,1.17,0.019352,1342704021163,2024-07-27T14:04:19.222923Z
ethereum,2684.59,13114602197,22.49,0.011275,432810485688,2024-07-11T11:25:25.706985Z
binancecoin,523.65,635080932,98.69,0.018343,95886281447,2024-07-18T04:23:31.888882Z
solana,184.11,3138246588,328.45,0.017249,86375612027,2024-07-06T19:35:08.350730Z
bitcoin,56059.39,31724101180,1.17,0.020377,1468760176568,2024-07-22T23:53:14.468151Z
ethereum,3716.0,13252697551,20.59,0.010144,434640779601,2024-07-21T21:17:28.724925Z
binancecoin,650.91,660490864,120.31,0.017784,94077445114,2024-07-23T02:01:13.526927Z
solana,192.25,3849388729,313.99,0.017024,92365159470,2024-07-05T07:02:07.967872Z
